activity,method,feature_set,routing_type,n_windows,MAE,RMSE,median_absolute_error,p95_absolute_error,catastrophic_error_rate_20bpm
jogging,learned_router,quality_only,soft_gate,280,19.257445924806518,23.001788095775023,18.870633774285096,41.28803493041951,0.4785714285714286
jogging,classical_expert,NA,NA,280,29.19484176974473,34.8081902819183,28.33177280811516,64.10496927733665,0.6357142857142857
keyboard-typing,learned_router,motion_only,soft_gate,431,9.977707721284954,13.594050794820134,7.315941385789742,29.250412997861666,0.1345707656612529
keyboard-typing,learned_router,motion_quality,soft_gate,431,9.979892135670978,13.701758443982198,7.027366725956625,28.49350831493026,0.1368909512761021
keyboard-typing,learned_router,motion_only,hard_gate,431,10.098745929157369,13.955628332743311,7.135869931900004,26.570275231547065,0.1368909512761021
keyboard-typing,classical_expert,NA,NA,431,10.116264881346472,13.969609776989378,7.135869931900004,26.570275231547065,0.1368909512761021
keyboard-typing,learned_router,quality_only,soft_gate,431,10.196314480396286,13.84187463939186,7.573903991064768,29.10330159035027,0.13921113689095127
keyboard-typing,learned_router,motion_quality,hard_gate,431,10.840024298571263,14.594670461659573,8.146766169133329,28.14812779276898,0.1554524361948956
keyboard-typing,learned_router,quality_only,hard_gate,431,12.031743702035278,15.755018279191614,9.778756005467145,30.794277276058853,0.19721577726218098
keyboard-typing,foundation_expert,NA,NA,431,13.578863549179284,16.98442425814353,11.175088441327517,33.15547258524201,0.24129930394431554
meditation-1,learned_router,quality_only,soft_gate,735,2.806399367915616,3.902604067502009,2.1094434012350263,8.225810609644011,0.0
meditation-1,learned_router,motion_quality,soft_gate,735,2.8165293983475657,3.937563917080867,2.105178703688054,8.244979406837054,0.0
meditation-1,learned_router,motion_only,soft_gate,735,2.8383044978694794,4.072663155368394,2.0525545734491004,8.265790513380535,0.0013605442176870747
meditation-1,learned_router,quality_only,hard_gate,735,3.099231694646007,4.130327726619225,2.3991469699529375,8.4811529933,0.0
meditation-1,learned_router,motion_quality,hard_gate,735,3.1657772080002675,4.238676843959973,2.45405573638331,8.730238194155165,0.0
meditation-1,foundation_expert,NA,NA,735,3.172215027867723,4.085560149934611,2.6574278599765364,7.888120995562205,0.0
meditation-1,learned_router,motion_only,hard_gate,735,3.21416291574757,4.872281520692558,2.1419567007366993,9.297724316938375,0.009523809523809525
meditation-1,classical_expert,NA,NA,735,3.2886069511791134,5.056374811594116,2.1269714712529435,9.926030315486841,0.010884353741496598
meditation-2,learned_router,quality_only,soft_gate,731,3.65940840729088,5.187417536400873,2.486394300956519,11.20270998014437,0.004103967168262654
meditation-2,learned_router,motion_quality,soft_gate,731,3.659630937690047,5.218540845499422,2.5591083997667,11.038483466337745,0.005471956224350205
meditation-2,learned_router,motion_only,soft_gate,731,3.7230538806478575,5.473178353845017,2.492734714072668,11.22267179553036,0.012311901504787962
meditation-2,learned_router,motion_quality,hard_gate,731,4.043933183976329,5.589842992641153,2.967451318900004,11.420384595098849,0.008207934336525308
meditation-2,learned_router,motion_only,hard_gate,731,4.1676335566066065,6.485106151836164,2.6910299439714294,12.797704559384659,0.019151846785225718
meditation-2,learned_router,quality_only,hard_gate,731,4.219762695228916,5.767324148896559,3.1139438407942777,11.86164575986993,0.008207934336525308
meditation-2,foundation_expert,NA,NA,731,4.260817380600086,5.559558071624135,3.287836792764807,11.376456333414083,0.0013679890560875513
meditation-2,classical_expert,NA,NA,731,4.408903644103006,7.138284619617098,2.665651180476914,14.930232979499614,0.030095759233926128
mobile-typing,classical_expert,NA,NA,430,3.724462748536437,6.287821874918426,2.372166578828569,11.663998139725704,0.02558139534883721
mobile-typing,learned_router,motion_only,soft_gate,430,3.7269190354222226,5.6611229612569405,2.3457690022098703,10.898359846755715,0.011627906976744186
mobile-typing,learned_router,motion_only,hard_gate,430,3.732968915515646,6.293599222198253,2.372166578828569,11.663998139725704,0.02558139534883721
mobile-typing,learned_router,motion_quality,soft_gate,430,3.840205718478501,5.960689501455879,2.329714721436865,11.338121339863415,0.011627906976744186
mobile-typing,learned_router,quality_only,soft_gate,430,3.896866159153513,5.973712124899977,2.387931720518381,11.409978091634727,0.011627906976744186
mobile-typing,learned_router,motion_quality,hard_gate,430,4.663783822715967,7.268152912936711,2.887601674791867,14.327968553592193,0.027906976744186046
mobile-typing,foundation_expert,NA,NA,430,4.965808711609516,6.87380396362263,3.056489553911767,14.57802940586054,0.0069767441860465115
mobile-typing,learned_router,quality_only,hard_gate,430,5.300173677035449,7.876256104993838,3.2947020954913953,15.317825070830278,0.027906976744186046
rest-1,learned_router,quality_only,soft_gate,279,3.026910062372131,3.8709121975295178,2.329112302102928,7.848842869178882,0.0
rest-1,learned_router,motion_quality,soft_gate,279,3.0374377779102177,3.8980665580683187,2.332531036688792,7.853650417440188,0.0
rest-1,learned_router,motion_only,soft_gate,279,3.145526909660794,4.064631743185323,2.252329108796971,8.529916790170263,0.0
rest-1,learned_router,motion_quality,hard_gate,279,3.30037828525885,4.215383194533845,2.651393194392739,8.674234311452167,0.0
rest-1,learned_router,motion_only,hard_gate,279,3.4836713310003526,4.969781862955617,2.2100683512653347,10.037530230310212,0.0
rest-1,classical_expert,NA,NA,279,3.5080249631573523,4.982460597317533,2.240730876599997,10.037530230310212,0.0
rest-1,learned_router,quality_only,hard_gate,279,3.524161569972984,4.339965529597695,3.1219980787666515,8.674234311452167,0.0
rest-1,foundation_expert,NA,NA,279,3.566914274315455,4.307038003726884,3.4556158650527635,7.856926267576894,0.0
rest-2,learned_router,motion_quality,hard_gate,285,3.4201257238892935,5.02339102118629,2.142996298466656,11.520040684375362,0.0
rest-2,learned_router,quality_only,soft_gate,285,3.642849348399706,4.932928081773956,2.8104325861213795,11.844369669792973,0.0
rest-2,learned_router,motion_quality,soft_gate,285,3.657630319509835,5.033799941762131,2.6512470939239847,12.048979571108063,0.0
rest-2,learned_router,motion_only,hard_gate,285,3.757144550606211,6.495941912154081,2.0068807339000045,14.371522524863945,0.021052631578947368
rest-2,classical_expert,NA,NA,285,3.8022361979490755,6.782910711294163,2.0068807339000045,13.934737465327373,0.031578947368421054
rest-2,learned_router,motion_only,soft_gate,285,3.8729305345164176,5.571673652205662,2.7578701862748005,12.403137700762727,0.007017543859649123
rest-2,learned_router,quality_only,hard_gate,285,4.146048253262042,5.584147043080369,3.1567219608571406,12.136975135196412,0.0
rest-2,foundation_expert,NA,NA,285,4.511173176553713,5.897464771913513,3.730813035255295,12.548932319796345,0.0
rest-3,learned_router,quality_only,soft_gate,283,3.437067893715508,5.695494738884265,2.034755699651612,11.709269582240827,0.02120141342756184
rest-3,learned_router,motion_quality,soft_gate,283,3.4492996847844584,5.739202617914842,2.019767370004388,11.704301986531659,0.02120141342756184
rest-3,learned_router,motion_only,soft_gate,283,3.4735640879032976,5.855943868368089,1.9863267842584946,11.745970528377164,0.024734982332155476
rest-3,foundation_expert,NA,NA,283,3.7414375882757587,5.725439458507169,2.503571618154865,12.076457886713232,0.0176678445229682
rest-3,learned_router,motion_only,hard_gate,283,3.802756442570241,6.192107076334161,2.147852147866672,13.271457443935109,0.024734982332155476
rest-3,learned_router,motion_quality,hard_gate,283,3.890625873093219,6.0067877042733615,2.327807885039242,12.063964233762555,0.02120141342756184
rest-3,learned_router,quality_only,hard_gate,283,3.993018066669243,6.060684351658938,2.564102564099997,12.063964233762555,0.02120141342756184
rest-3,classical_expert,NA,NA,283,3.999353701375275,6.629405701790237,2.1520803443470555,13.319139929976144,0.028268551236749116
rest-4,learned_router,quality_only,hard_gate,280,8.141641768540147,13.711686908058859,4.847602790359947,23.831924521530592,0.08928571428571429
rest-4,foundation_expert,NA,NA,280,8.152659379292517,11.020581211145325,6.3913368474544825,21.14069708758437,0.07142857142857142
rest-4,learned_router,quality_only,soft_gate,280,8.27326614397476,13.13663237983147,4.968785628272592,24.533036837695725,0.08928571428571429
rest-4,learned_router,motion_quality,hard_gate,280,8.349183457953389,14.122191343836532,4.707467425426081,26.276765326647332,0.10357142857142858
rest-4,learned_router,motion_quality,soft_gate,280,8.349921469597328,13.185611601255628,4.811281357210881,24.57307481285785,0.10357142857142858
rest-4,learned_router,motion_only,soft_gate,280,8.473162572261254,13.008675681871452,4.890361898976721,25.126486913281404,0.13214285714285715
