dataset,model_name,preprocessing_mode,inversion,normalization_strategy,probe_type,regressor_type,participant_id,MAE,RMSE,median_absolute_error,p95_absolute_error,catastrophic_error_rate_20bpm,n_windows,n_participants
GalaxyPPG,peak_based,harmonized,True,NA,NA,classical_peak,P07,8.686032179260987,16.485759518037487,4.373663430164285,29.089952899707853,0.08926174496644296,1490,1
GalaxyPPG,pulseppg,harmonized,False,per_window_zscore,ridge,ridge,P07,8.757393287231906,13.22577473510245,5.568152332866404,29.626414659513934,0.10604026845637583,1490,1
GalaxyPPG,pulseppg,harmonized,False,per_window_zscore,ridge,ridge,P16,8.932882687679077,13.527051720585233,5.280504577287502,27.749018751710466,0.11096345514950166,1505,1
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,ridge,ridge,P04,8.994385601225416,14.454106121114155,5.297193794217961,34.73435803794666,0.10428662827895073,1563,1
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,ridge,ridge,P04,8.994385601225416,14.454106121114155,5.297193794217961,34.73435803794666,0.10428662827895073,1563,1
GalaxyPPG,pulseppg,model_faithful,True,none,ridge,ridge,P04,8.995563279301049,14.455425476827418,5.290108864564843,34.72788678550526,0.10428662827895073,1563,1
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,ridge,ridge,P04,8.99675722169708,14.453402833574366,5.299027734150783,34.66141339683339,0.10428662827895073,1563,1
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,ridge,ridge,P04,8.99695844255505,14.451178742003329,5.297738409626561,34.67781354331777,0.10428662827895073,1563,1
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,linear,linear,P04,9.06809690101468,14.491956592062495,5.380887399250781,35.07775049596416,0.10492642354446577,1563,1
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,linear,linear,P04,9.06809690101468,14.491956592062495,5.380887399250781,35.07775049596416,0.10492642354446577,1563,1
GalaxyPPG,pulseppg,model_faithful,True,none,linear,linear,P04,9.069151079553224,14.493334624682987,5.386381268307815,35.08215799718485,0.10492642354446577,1563,1
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,linear,linear,P04,9.069520739115259,14.48786965448742,5.372609506184375,35.083639625602835,0.10428662827895073,1563,1
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,linear,linear,P04,9.070616836835303,14.490942708540905,5.372592742062494,35.08040399938212,0.10428662827895073,1563,1
GalaxyPPG,spectral,harmonized,False,NA,NA,classical_spectral,P18,9.125170212268646,16.144304723790857,5.411692989050003,35.672514514374996,0.10280970625798212,1566,1
GalaxyPPG,spectral,harmonized,True,NA,NA,classical_spectral,P18,9.125170212268646,16.144304723790857,5.411692989050003,35.672514514374996,0.10280970625798212,1566,1
GalaxyPPG,pulseppg,harmonized,False,per_window_zscore,ridge,ridge,P04,9.256489484316285,12.962820914522053,6.865306498368753,26.612054538821177,0.10876519513755598,1563,1
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,ridge,ridge,P16,9.302347970240898,13.620430091871851,6.203146228439451,29.54423084155826,0.11029900332225914,1505,1
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,ridge,ridge,P16,9.30262926146295,13.623591920373999,6.227415564914068,29.582549123712322,0.10963455149501661,1505,1
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,ridge,ridge,P16,9.30262926146295,13.623591920373999,6.227415564914068,29.582549123712322,0.10963455149501661,1505,1
GalaxyPPG,pulseppg,model_faithful,True,none,ridge,ridge,P16,9.304271723093942,13.625626695652763,6.216582157815623,29.60976317400529,0.10963455149501661,1505,1
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,ridge,ridge,P16,9.304772704941348,13.624977437332733,6.214386837207812,29.53967304126529,0.11029900332225914,1505,1
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,linear,linear,P16,9.434258804345193,13.769528614157094,6.4408444372968745,29.93733038525687,0.11495016611295682,1505,1
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,linear,linear,P16,9.435537706461716,13.773115002531904,6.405934324867957,29.95263800244437,0.11495016611295682,1505,1
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,linear,linear,P16,9.435537706461716,13.773115002531904,6.405934324867957,29.95263800244437,0.11495016611295682,1505,1
GalaxyPPG,pulseppg,model_faithful,True,none,linear,linear,P16,9.436977690045083,13.775192477660196,6.416144146939843,29.943707033206092,0.11495016611295682,1505,1
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,linear,linear,P16,9.438515758687098,13.774415893001803,6.395380887127345,29.92449237453375,0.11495016611295682,1505,1
GalaxyPPG,peak_based,harmonized,False,NA,NA,classical_peak,P16,10.434352963229003,21.64959440061904,2.5422338854714326,54.98686902103891,0.15282392026578073,1505,1
GalaxyPPG,peak_based,harmonized,True,NA,NA,classical_peak,P16,10.624072518976911,20.824472470987985,3.1372536922594634,50.1533363276453,0.15691489361702127,1504,1
GalaxyPPG,papagei,harmonized,False,per_window_zscore,ridge,ridge,P07,11.084017315414364,15.837457886645506,8.52242986153945,30.44026656183976,0.10604026845637583,1490,1
GalaxyPPG,papagei,harmonized,True,per_window_zscore,NA,random_forest,P07,11.102633342083319,16.28522861694808,7.753266916411917,35.44911162821773,0.1268456375838926,1490,1
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,NA,random_forest,P07,11.102633342083319,16.28522861694808,7.753266916411917,35.44911162821773,0.1268456375838926,1490,1
GalaxyPPG,papagei,harmonized,True,per_window_zscore,ridge,ridge,P07,11.147426326061554,15.696835349151197,8.610704404659764,31.892457549667913,0.1261744966442953,1490,1
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,ridge,ridge,P07,11.147426326061554,15.696835349151197,8.610704404659764,31.892457549667913,0.1261744966442953,1490,1
GalaxyPPG,papagei,harmonized,True,per_window_zscore,linear,linear,P07,11.169886524460965,15.82720771126715,8.560153432399218,32.691520928578704,0.12818791946308725,1490,1
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,linear,linear,P07,11.169886524460965,15.82720771126715,8.560153432399218,32.691520928578704,0.12818791946308725,1490,1
GalaxyPPG,papagei,harmonized,True,per_window_zscore,ridge,ridge,P18,11.903773276456834,17.252638435006897,7.804550965368364,38.29866595277579,0.16794380587484037,1566,1
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,ridge,ridge,P18,11.903773276456834,17.252638435006897,7.804550965368364,38.29866595277579,0.16794380587484037,1566,1
GalaxyPPG,papagei,harmonized,True,per_window_zscore,NA,random_forest,P18,12.073902299371374,16.553404597827683,8.457604350019352,36.878795532663744,0.1826309067688378,1566,1
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,NA,random_forest,P18,12.073902299371374,16.553404597827683,8.457604350019352,36.878795532663744,0.1826309067688378,1566,1
GalaxyPPG,papagei,harmonized,True,per_window_zscore,linear,linear,P18,12.179598297322716,17.90625494852653,7.953350349752544,38.860234525391604,0.16666666666666666,1566,1
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,linear,linear,P18,12.179598297322716,17.90625494852653,7.953350349752544,38.860234525391604,0.16666666666666666,1566,1
GalaxyPPG,papagei,harmonized,False,per_window_zscore,ridge,ridge,P16,12.201844226814295,18.528642804586912,7.848189801214062,42.63226069702,0.15282392026578073,1505,1
GalaxyPPG,papagei,harmonized,False,per_window_zscore,ridge,ridge,P04,12.289469080044254,16.760610584726475,10.061877120745308,29.662803358416344,0.1183621241202815,1563,1
GalaxyPPG,papagei,harmonized,True,per_window_zscore,NA,random_forest,P16,12.49800581581182,18.829648862581152,8.400230259351986,42.352355392250196,0.15813953488372093,1505,1
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,NA,random_forest,P16,12.49800581581182,18.829648862581152,8.400230259351986,42.352355392250196,0.15813953488372093,1505,1
GalaxyPPG,papagei,harmonized,True,per_window_zscore,ridge,ridge,P16,12.511276941714831,18.414585922475936,8.038014660059375,41.64985988904216,0.1787375415282392,1505,1
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,ridge,ridge,P16,12.511276941714831,18.414585922475936,8.038014660059375,41.64985988904216,0.1787375415282392,1505,1
GalaxyPPG,papagei,harmonized,True,per_window_zscore,linear,linear,P16,12.589409486197303,18.42640092377742,8.276225677057809,41.72666965610841,0.17940199335548174,1505,1
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,linear,linear,P16,12.589409486197303,18.42640092377742,8.276225677057809,41.72666965610841,0.17940199335548174,1505,1
GalaxyPPG,papagei,harmonized,True,per_window_zscore,linear,linear,P04,13.0479243998458,18.050527353149782,10.40680294714062,35.47206005903201,0.1362763915547025,1563,1
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,linear,linear,P04,13.0479243998458,18.050527353149782,10.40680294714062,35.47206005903201,0.1362763915547025,1563,1
GalaxyPPG,papagei,harmonized,True,per_window_zscore,ridge,ridge,P04,13.2142932139168,17.991499394234328,10.590973925344528,35.713945194418265,0.1401151631477927,1563,1
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,ridge,ridge,P04,13.2142932139168,17.991499394234328,10.590973925344528,35.713945194418265,0.1401151631477927,1563,1
GalaxyPPG,papagei,harmonized,False,per_window_zscore,ridge,ridge,P18,13.353831234150594,20.148656303326558,9.026102954474219,41.328146509028514,0.18582375478927204,1566,1
GalaxyPPG,papagei,harmonized,True,per_window_zscore,NA,random_forest,P04,13.453002876837727,17.923961397915154,10.827751792596928,39.70166586163023,0.15866922584772872,1563,1
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,NA,random_forest,P04,13.453002876837727,17.923961397915154,10.827751792596928,39.70166586163023,0.15866922584772872,1563,1
GalaxyPPG,spectral,harmonized,False,NA,NA,classical_spectral,P07,16.731749810951545,26.295876723645925,7.644185526500003,64.86013986009999,0.3167785234899329,1490,1
GalaxyPPG,spectral,harmonized,True,NA,NA,classical_spectral,P07,16.731749810951545,26.295876723645925,7.644185526500003,64.86013986009999,0.3167785234899329,1490,1
GalaxyPPG,spectral,harmonized,False,NA,NA,classical_spectral,P17,18.109099774145985,27.354067135447135,6.154093097900002,52.962382445100005,0.34306569343065696,1507,1
GalaxyPPG,spectral,harmonized,True,NA,NA,classical_spectral,P17,18.109099774145985,27.354067135447135,6.154093097900002,52.962382445100005,0.34306569343065696,1507,1
GalaxyPPG,spectral,harmonized,False,NA,NA,classical_spectral,P04,22.208859741076388,34.41607057532636,7.126696832600004,85.05025364944993,0.3909149072296865,1563,1
GalaxyPPG,spectral,harmonized,True,NA,NA,classical_spectral,P04,22.208859741076388,34.41607057532636,7.126696832600004,85.05025364944993,0.3909149072296865,1563,1
GalaxyPPG,spectral,harmonized,False,NA,NA,classical_spectral,P16,27.068657848319134,38.76092222891294,18.3579725449,87.93619300123997,0.4956810631229236,1505,1
GalaxyPPG,spectral,harmonized,True,NA,NA,classical_spectral,P16,27.068657848319134,38.76092222891294,18.3579725449,87.93619300123997,0.4956810631229236,1505,1
