dataset,model_name,preprocessing_mode,inversion,normalization_strategy,probe_type,regressor_type,activity,MAE,RMSE,median_absolute_error,p95_absolute_error,catastrophic_error_rate_20bpm,n_windows,n_participants
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,linear,linear,meditation-2,9.035478784683411,11.379620633834817,7.537149772339063,21.901187334715623,0.07523939808481532,731,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,linear,linear,ssst-prep,9.05917860213591,10.698477353937298,8.480233957069927,21.917956114027376,0.09259259259259259,54,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,linear,linear,ssst-prep,9.05917860213591,10.698477353937298,8.480233957069927,21.917956114027376,0.09259259259259259,54,5
GalaxyPPG,peak_based,harmonized,False,NA,NA,classical_peak,keyboard-typing,9.121898124020001,13.678799492103002,5.237294710952625,31.37863507704355,0.13225058004640372,431,5
GalaxyPPG,papagei,harmonized,False,per_window_zscore,ridge,ridge,standing,9.23068618577264,11.426450154939637,8.156819477105472,20.937377597138905,0.06993006993006994,429,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,ridge,ridge,ssst-prep,9.239741303475899,10.820799641472536,8.397147725215625,21.905028104994173,0.09259259259259259,54,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,ridge,ridge,ssst-prep,9.239741303475899,10.820799641472536,8.397147725215625,21.905028104994173,0.09259259259259259,54,5
GalaxyPPG,spectral,harmonized,False,NA,NA,classical_spectral,mobile-typing,9.255745485434186,14.157743512611363,4.161648601600007,34.22423046299487,0.19069767441860466,430,5
GalaxyPPG,spectral,harmonized,True,NA,NA,classical_spectral,mobile-typing,9.255745485434186,14.157743512611363,4.161648601600007,34.22423046299487,0.19069767441860466,430,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,ridge,ridge,mobile-typing,9.532687415943482,11.748001576748377,8.2925487380082,21.8009682499157,0.08139534883720931,430,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,ridge,ridge,mobile-typing,9.532687415943482,11.748001576748377,8.2925487380082,21.8009682499157,0.08139534883720931,430,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,linear,linear,mobile-typing,9.55449580496278,11.777248800617391,8.43494102579492,21.902114766970765,0.07906976744186046,430,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,linear,linear,mobile-typing,9.55449580496278,11.777248800617391,8.43494102579492,21.902114766970765,0.07906976744186046,430,5
GalaxyPPG,peak_based,harmonized,False,NA,NA,classical_peak,ssst-sing,9.596620332797793,14.379236997874653,4.366830391600004,31.16328744483774,0.13559322033898305,59,5
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,ridge,ridge,rest-4,9.640351974604426,12.68576471789654,7.623008491778904,25.71615976309687,0.11743772241992882,281,5
GalaxyPPG,pulseppg,model_faithful,True,none,ridge,ridge,rest-4,9.645987354925127,12.692811959511427,7.661605598712498,25.65789525156876,0.11743772241992882,281,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,ridge,ridge,rest-4,9.646623554116077,12.694317414362283,7.639938118243748,25.662305041607794,0.11743772241992882,281,5
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,ridge,ridge,rest-4,9.646623554116077,12.694317414362283,7.639938118243748,25.662305041607794,0.11743772241992882,281,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,ridge,ridge,rest-4,9.651714446551424,12.699178299903409,7.6070249102359355,25.70150487070937,0.11743772241992882,281,5
GalaxyPPG,papagei,harmonized,False,per_window_zscore,ridge,ridge,meditation-2,9.745917180120012,12.419256858819407,8.206926816663284,21.602193937353128,0.07523939808481532,731,5
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,linear,linear,rest-4,9.756070616869629,12.82926138143133,7.737909124157028,26.14960037113515,0.12811387900355872,281,5
GalaxyPPG,pulseppg,model_faithful,True,none,linear,linear,rest-4,9.764896275957996,12.839363896482991,7.804858382071089,26.14279550528437,0.13167259786476868,281,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,linear,linear,rest-4,9.76554694656277,12.840808776275606,7.7831198651335995,26.141368254435932,0.13167259786476868,281,5
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,linear,linear,rest-4,9.76554694656277,12.840808776275606,7.7831198651335995,26.141368254435932,0.13167259786476868,281,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,linear,linear,rest-4,9.771750190118766,12.845699583252076,7.784129712003121,26.220126494182026,0.13167259786476868,281,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,NA,random_forest,ssst-sing,9.809220664891576,12.905256865696218,6.331568832788605,24.12935299570586,0.1694915254237288,59,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,NA,random_forest,ssst-sing,9.933052242259109,13.032439023980519,7.083762516246722,23.296904357813858,0.1864406779661017,59,5
GalaxyPPG,peak_based,harmonized,True,NA,NA,classical_peak,keyboard-typing,10.116264881346472,13.969609776989378,7.135869931900004,26.570275231547065,0.1368909512761021,431,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,NA,random_forest,standing,10.436565123093716,12.793240444847047,9.81904158190379,24.105308163393527,0.11188811188811189,429,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,NA,random_forest,standing,10.436565123093716,12.793240444847047,9.81904158190379,24.105308163393527,0.11188811188811189,429,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,ridge,ridge,standing,10.437996739026044,13.103347184666234,8.870219582047653,24.851224721383247,0.10955710955710955,429,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,ridge,ridge,standing,10.437996739026044,13.103347184666234,8.870219582047653,24.851224721383247,0.10955710955710955,429,5
GalaxyPPG,peak_based,harmonized,False,NA,NA,classical_peak,rest-4,10.509665669896757,18.2331056718548,3.431328945028568,38.5101010101,0.2099644128113879,281,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,linear,linear,standing,10.53639477013409,13.214413863664339,9.384137555329687,24.515078612141703,0.11421911421911422,429,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,linear,linear,standing,10.53639477013409,13.214413863664339,9.384137555329687,24.515078612141703,0.11421911421911422,429,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,ridge,ridge,ssst-sing,10.690280906738844,13.441162962721231,10.038377028502339,26.897445893030937,0.1864406779661017,59,5
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,ridge,ridge,ssst-sing,10.690280906738844,13.441162962721231,10.038377028502339,26.897445893030937,0.1864406779661017,59,5
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,ridge,ridge,ssst-sing,10.691470704350404,13.442024129732278,10.028208122521875,26.894745087366875,0.1864406779661017,59,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,ridge,ridge,ssst-sing,10.693078372952264,13.441411290163058,10.025101687974995,26.943270325403997,0.1864406779661017,59,5
GalaxyPPG,pulseppg,model_faithful,True,none,ridge,ridge,ssst-sing,10.693686396902876,13.443796949348478,10.02534602264295,26.90296194527703,0.1864406779661017,59,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,linear,linear,ssst-sing,10.716758683628894,13.574581809474084,9.552210197717201,27.449009918909848,0.1864406779661017,59,5
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,linear,linear,ssst-sing,10.716758683628894,13.574581809474084,9.552210197717201,27.449009918909848,0.1864406779661017,59,5
GalaxyPPG,pulseppg,model_faithful,True,none,linear,linear,ssst-sing,10.719922102156273,13.577583986889632,9.552149162560937,27.452620148402048,0.1864406779661017,59,5
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,linear,linear,ssst-sing,10.72293066983702,13.576168602321328,9.533822085924214,27.45532934640008,0.1864406779661017,59,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,linear,linear,ssst-sing,10.722943213078874,13.57518511347308,9.550386772424218,27.44965689404133,0.1864406779661017,59,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,NA,random_forest,mobile-typing,10.748337380189378,12.906686214225354,10.242972157664909,21.925189178252392,0.1186046511627907,430,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,NA,random_forest,mobile-typing,10.748337380189378,12.906686214225354,10.242972157664909,21.925189178252392,0.1186046511627907,430,5
GalaxyPPG,papagei,harmonized,False,per_window_zscore,ridge,ridge,ssst-sing,10.834811044047443,12.716061979780408,9.681160711485944,21.430755582877563,0.13559322033898305,59,5
GalaxyPPG,pulseppg,harmonized,False,per_window_zscore,ridge,ridge,rest-4,10.903863976135465,14.648906091613062,8.561485526775783,26.46283028605704,0.1708185053380783,281,5
GalaxyPPG,peak_based,harmonized,True,NA,NA,classical_peak,rest-4,11.207423121871738,19.069568332331094,4.240823136800003,40.986382770827234,0.21071428571428572,280,5
GalaxyPPG,papagei,harmonized,False,per_window_zscore,ridge,ridge,keyboard-typing,11.22823754767928,14.462819640567133,9.367091619580464,31.2449639375875,0.14153132250580047,431,5
GalaxyPPG,pulseppg,harmonized,False,per_window_zscore,ridge,ridge,ssst-sing,11.317994150156588,14.406557580963737,8.224831550876559,26.29429780829992,0.2033898305084746,59,5
GalaxyPPG,peak_based,harmonized,True,NA,NA,classical_peak,ssst-sing,11.396150159296031,16.340405600981963,7.105459985028574,29.968957127278948,0.22033898305084745,59,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,NA,random_forest,ssst-sing,11.462635805146537,14.230000519584099,8.591460234486647,28.591892114775636,0.1694915254237288,59,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,NA,random_forest,ssst-sing,11.462635805146537,14.230000519584099,8.591460234486647,28.591892114775636,0.1694915254237288,59,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,ridge,ridge,rest-4,11.636740935634549,14.497673778054907,9.857994221798435,27.094825336525787,0.13167259786476868,281,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,ridge,ridge,rest-4,11.636740935634549,14.497673778054907,9.857994221798435,27.094825336525787,0.13167259786476868,281,5
GalaxyPPG,spectral,harmonized,False,NA,NA,classical_spectral,meditation-2,11.69877247887004,17.919675647819485,6.190398219800002,45.361445783099995,0.2270861833105335,731,5
GalaxyPPG,spectral,harmonized,True,NA,NA,classical_spectral,meditation-2,11.69877247887004,17.919675647819485,6.190398219800002,45.361445783099995,0.2270861833105335,731,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,ridge,ridge,ssst-sing,11.849080418096817,14.427245195241358,9.846769652345316,26.075592896741462,0.22033898305084745,59,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,ridge,ridge,ssst-sing,11.849080418096817,14.427245195241358,9.846769652345316,26.075592896741462,0.22033898305084745,59,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,linear,linear,ssst-sing,11.892957141310747,14.532871960311253,9.625322617863276,27.252612508873266,0.22033898305084745,59,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,linear,linear,ssst-sing,11.892957141310747,14.532871960311253,9.625322617863276,27.252612508873266,0.22033898305084745,59,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,linear,linear,rest-4,12.034554205803657,15.645530466625106,9.846366543105475,32.79294830012188,0.1423487544483986,281,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,linear,linear,rest-4,12.034554205803657,15.645530466625106,9.846366543105475,32.79294830012188,0.1423487544483986,281,5
GalaxyPPG,peak_based,harmonized,True,NA,NA,classical_peak,rest-5,12.166400171486531,21.745401421307108,4.309252865326464,57.997106556995256,0.20710059171597633,338,5
GalaxyPPG,spectral,harmonized,False,NA,NA,classical_spectral,rest-2,12.168621442332983,20.491056917876904,5.217391304299994,49.818726177319995,0.19649122807017544,285,5
GalaxyPPG,spectral,harmonized,True,NA,NA,classical_spectral,rest-2,12.168621442332983,20.491056917876904,5.217391304299994,49.818726177319995,0.19649122807017544,285,5
GalaxyPPG,papagei,harmonized,True,per_window_zscore,NA,random_forest,rest-4,12.380451613126112,15.080552497471327,10.831255628782898,28.53947085514136,0.16725978647686832,281,5
GalaxyPPG,papagei,model_faithful,True,per_window_zscore,NA,random_forest,rest-4,12.380451613126112,15.080552497471327,10.831255628782898,28.53947085514136,0.16725978647686832,281,5
GalaxyPPG,peak_based,harmonized,False,NA,NA,classical_peak,rest-5,12.622430889131484,22.058499084382948,4.6158646172846005,57.48496938779362,0.22123893805309736,339,5
GalaxyPPG,papagei,harmonized,False,per_window_zscore,ridge,ridge,rest-4,12.73430051057233,16.325258770181048,10.803258229457029,30.940338095221094,0.14590747330960854,281,5
GalaxyPPG,spectral,harmonized,False,NA,NA,classical_spectral,screen-reading,13.013586063032244,19.41877634696547,5.230431028999995,46.065950920239935,0.3130841121495327,428,5
GalaxyPPG,spectral,harmonized,True,NA,NA,classical_spectral,screen-reading,13.013586063032244,19.41877634696547,5.230431028999995,46.065950920239935,0.3130841121495327,428,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,ridge,ridge,rest-5,13.188885490106227,20.237093947160666,7.704522924451567,50.260119279108984,0.2153392330383481,339,5
GalaxyPPG,pulseppg,model_faithful,True,none,ridge,ridge,rest-5,13.189353261501962,20.22597019046227,7.718957738904692,50.159958564590454,0.2153392330383481,339,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,ridge,ridge,rest-5,13.189830762575028,20.227589017762817,7.710550146131254,50.16820822889709,0.2153392330383481,339,5
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,ridge,ridge,rest-5,13.189830762575028,20.227589017762817,7.710550146131254,50.16820822889709,0.2153392330383481,339,5
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,ridge,ridge,rest-5,13.193820425549394,20.2449287757311,7.816720800428129,50.27412329847718,0.2153392330383481,339,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,linear,linear,rest-5,13.213721509903452,20.194715019652154,7.718992761949224,48.95434207734395,0.2182890855457227,339,5
GalaxyPPG,pulseppg,model_faithful,True,none,linear,linear,rest-5,13.213840729913285,20.183497987847296,7.76407485423438,48.95300091750451,0.22123893805309736,339,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,linear,linear,rest-5,13.214545875014917,20.18527172443861,7.754461817125005,48.95680722243615,0.22123893805309736,339,5
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,linear,linear,rest-5,13.214545875014917,20.18527172443861,7.754461817125005,48.95680722243615,0.22123893805309736,339,5
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,linear,linear,rest-5,13.217187307370086,20.20194957354353,7.706244043687505,48.91576184279747,0.2182890855457227,339,5
GalaxyPPG,pulseppg,harmonized,False,per_window_zscore,ridge,ridge,rest-5,13.441133078010173,19.67346134781413,7.9542540079351625,45.87122885692025,0.22123893805309736,339,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,NA,random_forest,keyboard-typing,13.578863549179284,16.98442425814353,11.175088441327517,33.15547258524201,0.24129930394431554,431,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,NA,random_forest,keyboard-typing,13.651110622922513,16.94822236717944,11.13923361583906,33.463628532940675,0.24129930394431554,431,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,NA,random_forest,rest-5,13.80517940758622,21.969949383270546,6.4619773685518425,55.94174750141574,0.23893805309734514,339,5
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,ridge,ridge,keyboard-typing,13.832019259465948,17.868915090443384,11.047303177194536,37.23309773806328,0.2459396751740139,431,5
GalaxyPPG,pulseppg,model_faithful,True,none,ridge,ridge,keyboard-typing,13.838867274320922,17.87609310853193,11.122666336374223,37.33297414187189,0.2459396751740139,431,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,ridge,ridge,keyboard-typing,13.839519959287184,17.876827203979218,11.125748611764848,37.32310170534845,0.2459396751740139,431,5
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,ridge,ridge,keyboard-typing,13.839519959287184,17.876827203979218,11.125748611764848,37.32310170534845,0.2459396751740139,431,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,ridge,ridge,keyboard-typing,13.841098731312872,17.877090378177034,11.07094667084688,37.29755467776056,0.2459396751740139,431,5
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,linear,linear,keyboard-typing,13.87498993173164,17.945221563730403,10.737777461978126,37.755004416957036,0.23897911832946636,431,5
GalaxyPPG,pulseppg,model_faithful,True,none,linear,linear,keyboard-typing,13.883117796024148,17.953457912831198,10.767948138385151,37.77817488814844,0.24129930394431554,431,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,linear,linear,keyboard-typing,13.883708383737469,17.954064340942676,10.76013921734922,37.78864241744532,0.24129930394431554,431,5
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,linear,linear,keyboard-typing,13.883708383737469,17.954064340942676,10.76013921734922,37.78864241744532,0.24129930394431554,431,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,linear,linear,keyboard-typing,13.885103660154506,17.955506473911058,10.763225543170321,37.83903838302149,0.24129930394431554,431,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,NA,random_forest,rest-5,13.900153051317172,21.952443133746215,6.415399454822108,55.81707926482048,0.22418879056047197,339,5
